Ac	D	Av	is_border
926	4.503524196	1986	0
1954	4.859900556	3173	0
2129	5.077063413	3384	0
2690	9.733053515	3947	0
2086	8.334059218	3606	0
2097	3.811670513	3432	0
1749	8.877046099	2824	0
2120	5.972678126	3275	0
1106	1.020607917	2252	0
1368	2.071299517	2602	0
1409	1.760716184	2782	0
1221	4.062025153	2292	0
1427	7.421334986	2520	0
741	5.514222782	1741	0
461	5.241767049	1634	0
1605	7.020613628	2906	0
908	2.706629278	2657	0
1394	6.268982401	2425	0
1510	3.578901018	2685	0
949	3.88643117	1745	0
1018	2.442299265	2869	0
405	2.702462818	1667	0
1193	5.869008895	2326	0
1358	7.157102459	2556	0
1248	4.060591762	2467	0
1269	7.51410613	2545	0
1514	2.640957713	2810	0
2333	8.781687063	3832	0
1968	10.21199402	3452	0
2197	2.695494482	3458	0
1581	13.33815194	3278	0
1267	1.820514674	2281	0
1389	1.994256097	2410	0
1697	7.880347851	2953	0
3645	8.240766921	4881	0
2220	7.276951065	3343	0
1771	5.617613452	2850	0
2759	6.7515439	3940	0
2638	8.034776915	4109	0
2370	5.369714541	3468	0
2456	3.307501965	3574	0
2105	3.537004429	3543	0
2709	7.797165155	3798	0
2546	3.489504377	3714	0
3117	4.067694236	4040	0
1507	5.832196705	2636	0
2517	5.742388426	3711	0
1825	7.311053575	2842	0
1914	11.30134085	2937	0
2344	4.316291053	3818	0
2046	5.103675985	3291	0
1973	8.258648052	2910	0
1866	1.874639723	2967	0
3087	4.614350018	4407	0
1198	3.235640153	2505	0
2330	7.207956838	3617	0
2220	6.225314439	3453	0
1611	1.337367937	2939	0
304	11.09663117	8177	0
4796	11.56560645	7168	0
3722	15.96202637	6390	0
5227	23.4146598	8984	0
5843	9.393066725	8948	0
2463	12.66855026	3389	0
0	17.10865634	3325	0
4422	17.30722386	6155	0
5221	14.15673361	6586	0
3444	5.775526608	4634	0
4049	8.381789236	5530	0
2598	9.619827525	3639	0
2057	11.00444399	3283	0
1681	0.909359472	2731	0
2987	9.410086602	4036	0
2584	12.13896969	4021	0
2148	4.949810971	3266	0
4323	12.17042511	6190	0
3106	15.63341993	4575	0
4355	8.508726154	5814	0
2242	7.348738989	3359	0
2294	2.776213699	3310	0
3373	9.617405848	5044	0
3146	4.088755336	4408	0
2200	9.762619317	3327	0
3061	6.568000353	4230	0
1202	6.096966802	2360	0
2824	5.905022576	3755	0
2258	5.410204116	3478	0
3146	6.447451721	4488	0
2720	6.807041886	4609	0
5767	21.46136122	7817	0
5395	11.52672053	7706	0
3943	8.761487881	5358	0
4338	9.470595737	6168	0
2570	6.079744095	3938	0
4311	10.27106049	6073	0
2137	5.297476196	3354	0
2747	9.086814833	3964	0
4036	10.50185428	5613	0
2650	9.393125142	3826	0
4039	8.352234533	5693	0
7912	65.05463096	19602	1
6692	58.93741045	13482	1
4715	48.03188271	10767	1
4385	19.91368599	7334	1
4629	33.45586295	11161	1
12898	21.58941405	16647	1
11015	28.75434208	15003	1
15559	38.47925258	23531	1
