D/Fn	Av/An	is_border
0.230483261	3.856641604	0
0.033701969	5.371727749	0
0.089600509	5.074278941	0
0.110056668	4.707807118	0
0.109578452	3.699186992	0
0.300396346	6.324746009	0
0.148821093	5.054850594	0
0.26603925	6.89037123	0
0.045026553	7.436732187	0
0.331131828	5.23167982	0
0.072182148	6.449177877	0
0.354815576	8.307107976	0
0.643263224	7.826788219	0
0.487442798	7.11281337	0
0.310008421	3.994475138	0
0.177394823	3.3625	0
0.174910263	4.424178896	0
0.125625126	6.121540763	0
0.176028833	6.511918275	0
0.1690395	4.531902552	0
0.182983277	3.206240858	0
0.416002894	7.404392073	0
0.24067176	3.981522956	0
0.449718387	5.168174561	0
0.29573827	6.346622889	0
0.274527656	6.55194508	0
0.219884741	4.530132789	0
0.233719549	6.067089276	0
0.144718211	8.220661531	0
0.085174487	3.922654269	0
0.165301184	3.024073182	0
0.187686776	3.690253046	0
0.371074548	8.629860031	0
0.103013216	3.768200349	0
0.216520512	3.723875871	0
0.176194418	4.15285881	0
0.100308909	3.414800995	0
0.185255603	6.398456057	0
0.153141261	4.659560293	0
0.108160302	3.246019517	0
0.035008111	2.798819255	0
0.300439695	4.148717949	0
0.280398217	4.2433281	0
0.200721495	2.501330967	0
0.337131751	6.114746094	0
0.134327125	2.898089172	0
0.304465719	5.275935074	0
0.315742422	4.238312429	0
0.303710316	5.134275618	0
0.069612066	5.061959654	0
0.30564453	7.973459289	0
0.305917449	7.321903429	0
0.487852891	7.805931322	0
0.209998129	4.612081877	0
0.641320876	12.03631714	0
0.078432148	4.662743323	0
0.1359364	3.995468804	0
0.06517085	2.64778157	0
0.346835471	5.268949772	0
0.287060298	9.035215947	0
0.119034408	5.94292804	0
0.19023459	6.466076696	0
0.369126189	3.462853386	0
0.281398435	4.019215372	0
0.295572966	4.400688863	0
0.293306388	3.354323308	0
0.065883434	3.623221661	0
0.176416042	4.849952963	0
0.371025539	4.9883811	0
0.090959831	4.074267782	0
0.135116717	3.786843447	0
0.34491634	5.037400368	0
0.11005196	7.04055088	0
0.108617878	5.833823529	0
0.144289117	4.246080436	0
0.308523111	3.875728155	0
0.110022044	3.323298429	0
0.054685881	3.676222597	0
0.162820877	3.62578437	0
0.074188926	3.399692544	0
0.158639931	3.071273359	0
0.16987052	3.447267129	0
0.281605045	5.178194607	0
0.219661685	3.608505998	0
0.107176304	3.951957295	0
0.267689999	5.537859008	0
0.117762186	6.141025641	0
0.228711436	5.103872157	0
0.016896435	3.6011994	0
0.592151553	5.496762257	0
0.381952394	3.422150883	0
0.318120191	7.019279128	0
0.405422396	4.575119617	0
0.356055489	4.318619583	0
0.22634736	4.945859873	0
0.051520798	2.334693878	0
0.085118629	3.629813665	0
0.151123332	4.393442623	0
0.016962512	2.15625	0
0.101164379	2.946826758	0
0.130618088	4.159090909	0
0.077912118	3.443009119	0
0.073281333	2.911739503	0
0.198916509	2.562167906	0
0.149548475	3.039534884	0
0.226436386	2.718907261	0
0.310597115	5.260468417	0
0.102216811	3.652873563	0
0.052164787	2.493415277	0
0.088926188	3.206365503	0
0.042168198	1.636730575	0
0.197655739	3.187713311	0
0.113451791	3.282764098	0
0.160515473	2.466617211	0
0.153643975	2.43162199	0
0.102387073	2.985332183	0
0.207756978	3.662508663	0
0.086374486	2.915921288	0
0.079503189	2.986807388	0
0.339483942	6.07424812	0
0.101643936	3.772344013	0
0.058434306	3.838557994	0
0.108161793	3.71812596	0
0.081193162	2.692531523	0
0.057577533	4.383365201	0
0.169698367	2.988945578	0
0.20975965	3.311994113	0
0.14129322	3.844703272	0
0.265085711	3.473080318	0
0.288786398	3.555486284	0
0.148676636	4.690779014	0
0.174513603	3.569767442	0
0.094998144	4.173913043	0
0.162715237	3.222809668	0
0.071432193	2.48664944	0
0.185566803	2.762057878	0
0.038758858	2.101811907	0
0.006694369	3.094867807	0
0.118738693	2.679245283	0
0.051430879	3.846504559	0
0.074180411	3.63927428	0
0.033914184	2.731759657	0
0.134366794	2.480430528	0
0.078730356	2.060461416	0
0.146228548	2.694499018	0
0.086419687	3.278868814	0
0.11454214	2.31737013	0
0.120847747	3.045620438	0
0.122122236	2.471981058	0
0.095067258	2.784188034	0
0.09283092	2.603228547	0
0.091728792	3.059344553	0
0.031320381	2.957061069	0
0.02318152	3.56561086	0
0.089744197	2.969992498	0
0.130702008	2.445229682	0
0.086928556	2.549828179	0
0.178201599	2.170997485	0
0.217833496	2.386461011	0
0.073216722	2.480300188	0
0.050990485	2.368613139	0
0.171473973	2.825627477	0
0.158784324	3.711805556	0
0.150084976	2.421629021	0
0.174915327	2.84148265	0
0.105977883	2.342857143	0
0.090548908	3.079734219	0
0.060201646	3.16579537	0
0.116174286	2.465530596	0
0.078149979	1.668275862	0
0.052655545	2.540455617	0
0.101698256	1.844011142	0
0.109411632	2.596563011	0
0.105180296	2.672985782	0
0.19369492	3.125098971	0
0.15223444	2.356862745	0
0.07349187	2.559284116	0
0.190782773	2.60757156	0
0.130396716	2.806341045	0
0.021779241	1.94137931	0
0.042421887	2.093322607	0
0.037954895	2.007215007	0
0.098115365	2.118299445	0
0.171525726	2.282608696	0
0.113006789	1.725470763	0
0.1102613	1.378902954	0
0.14375751	2.220015279	0
0.047477394	1.507945516	0
0.144391371	2.320574163	0
0.072993213	2.269653423	0
0.099132019	2.151664612	0
0.041341509	1.540816327	0
0.055998334	1.309505106	0
0.13380196	2.04214223	0
0.157460569	2.119402985	0
0.085604727	2.002435065	0
0.14859762	1.974398759	0
0.052186343	2.149961744	0
0.166315106	2.539430086	0
0.211107198	2.307486631	0
0.061871516	2.727129338	0
0.218394365	1.918080749	0
0.036344945	2.225365854	0
0.048873555	2.337536372	0
