D/fn	Av/Ac	is_border
0.230483261	1.35912383	0
0.033701969	1.245557885	0
0.089600509	1.264323686	0
0.110056668	1.293737183	0
0.109578452	1.367860071	0
0.300396346	46.73190349	0
0.148821093	1.249519377	0
0.26603925	1.176721149	0
0.045026553	1.156903966	0
0.331131828	1.280314526	0
0.072182148	1.187422595	0
0.354815576	1.444067157	0
0.643263224	2.41110391	0
0.487442798	1.162266727	0
0.310008421	1.331736968	0
0.177394823	1.421400264	0
0.174910263	1.290723751	0
0.125625126	1.195690285	0
0.176028833	1.198328982	0
0.1690395	1.291618449	0
0.182983277	1.45229682	0
0.416002894	1.178818112	0
0.24067176	1.333645911	0
0.449718387	1.340742786	0
0.29573827	1.208232878	0
0.274527656	1.231166151	0
0.219884741	1.284390385	0
0.233719549	1.239076492	0
0.144718211	1.85246069	0
0.085174487	1.353310003	0
0.165301184	1.504791567	0
0.187686776	1.37290795	0
0.371074548	1.290665219	0
0.103013216	1.480549199	0
0.216520512	1.365536461	0
0.176194418	1.315711645	0
0.100308909	1.412294239	0
0.185255603	1.291037623	0
0.153141261	1.273179612	0
0.108160302	1.442593015	0
0.035008111	1.552002015	0
0.300439695	1.314836313	0
0.280398217	1.306112588	0
0.200721495	1.665091553	0
0.337131751	1.201362241	0
0.134327125	1.525139665	0
0.304465719	1.28431541	0
0.315742422	1.389359581	0
0.303710316	1.24267693	0
0.069612066	1.26200455	0
0.30564453	1.933987998	0
0.305917449	1.188302101	0
0.487852891	1.362051748	0
0.209998129	1.276143114	0
0.641320876	1.51237226	0
0.078432148	1.279821074	0
0.1359364	1.341015442	0
0.06517085	1.599587629	0
0.346835471	1.245305418	0
0.287060298	1.278488153	0
0.119034408	1.250489492	0
0.19023459	7.711521548	0
0.369126189	1.40828877	0
0.281398435	1.330506228	0
0.295572966	1.288836584	0
0.293306388	1.420214883	0
0.065883434	1.380003496	0
0.176416042	1.259281876	0
0.371025539	1.249272551	0
0.090959831	1.323029891	0
0.135116717	1.358331809	0
0.34491634	1.359814631	0
0.11005196	1.442998275	0
0.108617878	1.229886839	0
0.144289117	1.313580768	0
0.308523111	1.34660145	0
0.110022044	1.427206296	0
0.054685881	1.371069182	0
0.162820877	1.379340278	0
0.074188926	1.409496495	0
0.158639931	1.48124083	0
0.16987052	1.405524168	0
0.281605045	1.657099981	0
0.219661685	1.41380047	0
0.107176304	1.392913139	0
0.267689999	1.583229659	0
0.117762186	1.666667	0
0.228711436	1.527312856	0
0.016896435	1.573534229	0
0.592151553	1.475540104	0
0.381952394	1.484679666	0
0.318120191	1.218390805	0
0.405422396	1.42334028	0
0.356055489	1.390439276	0
0.22634736	1.292658565	0
0.051520798	1.785639958	0
0.085118629	1.374412041	0
0.151123332	1.293216009	0
0.016962512	1.857208029	0
0.101164379	1.509003074	0
0.130618088	1.316546763	0
0.077912118	1.410647572	0
0.073281333	1.520357942	0
0.198916509	1.629054054	0
0.149548475	1.486916951	0
0.226436386	1.574521232	0
0.310597115	1.240709742	0
0.102216811	1.375360646	0
0.052164787	1.659848042	0
0.088926188	1.447173309	0
0.042168198	2.550314465	0
0.197655739	1.454262359	0
0.113451791	1.43407356	0
0.160515473	1.675062972	0
0.153643975	1.694207028	0
0.102387073	1.499133449	0
0.207756978	1.374154966	0
0.086374486	1.51627907	0
0.079503189	1.499337748	0
0.339483942	1.195965951	0
0.101643936	1.356991204	0
0.058434306	1.349311295	0
0.108161793	1.36712793	0
0.081193162	1.586285714	0
0.057577533	1.312249571	0
0.169698367	1.503421728	0
0.20975965	1.430705658	0
0.14129322	1.35549472	0
0.265085711	1.46228168	0
0.288786398	1.413733267	0
0.148676636	1.43821594	0
0.174513603	1.385379061	0
0.094998144	1.312977099	0
0.162715237	1.444971216	0
0.071432193	1.661104718	0
0.185566803	1.558983666	0
