EXP_ID	FILES_KEY	CLASS	NUCL.dna.AREA	NUCL.dna.FERET	NUCL.dna.X	NUCL.dna.Y	VORO.protein3.AREA	VORO.protein3.FERET	VORO.protein3.ROUND	VORO.protein3.AR	VORO.protein3.CENTRE_X	VORO.protein3.CENTRE_Y	CYTO.protein3.AREA
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1318	50.1199	645.7003	556.0698	115770	745.8472	0.3187	3.1377	296.7934	713.9157	4822
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1731	61.6117	618.0448	499.6826	107651	686.6185	0.2862	3.4937	318.4344	533.8726	13946
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1913	62.0322	507.3704	184.5146	159572	670.0366	0.558	1.792	232.128	273.1515	8702
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1805	68.7314	660.3676	701.0019	156904	712.9243	0.4575	2.1859	667.7425	420.0721	11211
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	3008	76.9415	829.6094	743.624	43512	430.0419	0.3992	2.5049	833.8103	629.007	23067
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1462	56.5155	1072.7182	654.2189	106019	706.1707	0.3548	2.8184	964.5464	432.3832	17838
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2200	64.6375	1325.5459	439.5114	286299	875.0709	0.6378	1.5678	1226.5052	222.7945	13810
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1351	45.8912	1406.5437	564.1825	39986	312.6564	0.5934	1.6852	1501.8095	511.4046	6003
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	3077	71.8471	1314.1406	604.1851	15917	227.2466	0.495	2.0202	1270.9939	580.6076	10373
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2371	68.884	365.6105	701.2166	39787	497.6907	0.2871	3.4834	435.443	572.6827	9368
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	2299	69.2026	281.8636	651.3795	65738	512.0644	0.4518	2.2135	335.7502	483.1248	8322
