CLASS	VORO.protein3.ROUND	VORO.protein3.AR	VORO.Feret.norm	VORO.Area.norm	CYTO.Area.norm	NUVO.distance.norm
INTERIOR	0.219563123950555	-0.219616473871107	0.20687043525753	0.494358529733597	0.91038300918219	-0.366862215054092
INTERIOR	0.0632117398022284	-0.0629735367164895	-0.832652597797243	-0.910430157643828	-1.28434782354505	-1.16198212688033
INTERIOR	-0.0490787849541011	0.0491951491560319	0.197462277316019	-0.0288645265401306	0.737849430666586	0.367074215096316
INTERIOR	0.755563572550393	-0.755709422199219	-0.498207623816392	-0.640328066873318	-0.574236000779847	-0.427334830950787
INTERIOR	0.970624685957211	-0.970495126195213	-0.565213380577616	-0.3950792407644	-0.102625275673767	0.304611803546007
EDGE	-2.56454023529937	2.56432299876022	2.17596785270644	1.6765907713541	0.443857228049619	1.87861146292504
INTERIOR	0.0371521245568974	-0.0370954820948059	-0.498618354506197	-0.355235048885088	0.0715583847946122	-0.63790717156016
INTERIOR	1.19057362854131	-1.19063677045881	-0.540023731745785	-0.468412123299115	-0.183489501884222	-0.129790763679396
INTERIOR	0.550026878355086	-0.550118408766706	-0.730226118246251	-0.766518346689867	-0.892212315607092	-0.286098965436546
INTERIOR	0.111493845245134	-0.111549619726928	-0.145238257190623	-0.415914051513189	-0.0585563922418	-0.241940222830039
INTERIOR	0.725359203094975	-0.725495771942654	-0.621673808726929	-0.450552286579828	-0.1429482482969	-0.0628344664068593
INTERIOR	-2.25033017784802	2.25059379801107	0.205409952771214	-0.430469696962626	-0.0858762744915827	-0.887739642153905
INTERIOR	0.109668167035928	-0.109847245124627	-0.483340263579868	-0.576572161857556	-0.422635525415372	-1.55998483216631
INTERIOR	0.644122376883071	-0.644140125958879	-0.511978468801886	-0.566088453861788	-0.398424441932857	-0.833808337887472
EDGE	-2.80977309013711	2.8101589672316	3.5242034777249	3.09719653724015	0.822910664671413	2.57431432868079
INTERIOR	0.759272287273449	-0.759113760387002	-0.439896860345366	-0.530792754797762	-0.31651932340555	-0.0313459577047942
INTERIOR	-0.209259600742541	0.209551399992852	0.0824113974656774	0.240153881178309	1.24051505788935	-0.909116677946893
EDGE	0.432076262839639	-0.432313529505857	0.692866067555347	0.791557366657136	0.966501507747011	0.884457778240897
INTERIOR	1.2092368842793	-1.20904764916246	-0.0940950388991891	-0.220870162925399	0.353631676655203	-0.21344632824049
