EXP_ID	FILES_KEY	CLASS	NUCL.dna.AREA	NUCL.dna.INT_MEAN	NUCL.dna.INT_STDEV	NUCL.dna.INT_MEDIAN	NUCL.dna.FERET	NUCL.dna.INT_DENSITY	NUCL.dna.RND	NUCL.dna.ASPECTRATIO	NUCL.dna.X	NUCL.dna.Y	VORO.dna.AREA	VORO.dna.INT_MEAN	VORO.dna.INT_STDEV	VORO.dna.INT_MEDIAN	VORO.dna.FERET	VORO.dna.INT_DENSITY	VORO.dna.RND	VORO.dna.ASPECTRATIO	VORO.dna.X	VORO.dna.Y	CYTO.dna.INT_MEAN	CYTO.dna.FERET	CYTO.dna.AREA	NUCL.protein3.AREA	NUCL.protein3.INT_MEAN	NUCL.protein3.INT_STDEV	NUCL.protein3.INT_MEDIAN	NUCL.protein3.FERET	NUCL.protein3.INT_DENSITY	NUCL.protein3.RND	NUCL.protein3.ASPECTRATIO	NUCL.protein3.X	NUCL.protein3.Y	VORO.protein3.AREA	VORO.protein3.INT_MEAN	VORONOI.protein3.INT_STDEV	VORONOI.protein3.INT_MEDIAN	VORONOI.protein3.FERET	VORONOI.protein3.INT_DEN	VORONOI.protein3.ROUND	VORONOI.protein3.AR	VORONOI.protein3.CENTRE_X	VORONOI.protein3.CENTRE_Y	CYTO.protein3.INT_MEDIAN_VOROONLY	CYTO.protein3.FERET	CYTO.protein3.AREA
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1369	3696.4974	777.7625	4095	46.5296	5060505	0.8082	1.2372	1973.9923	414.9039	153051	148.1975	355.5534	110	757.2424	22681778	0.4248	2.354	1931.2009	518.7815	279	757.2424	2177	1369	959.1753	122.578	955	46.5296	1313111	0.8082	1.2372	1973.9923	414.9039	153051	21.7595	122.7664	0	757.2424	3330314	0.4248	2.354	1931.2009	518.7815	585	757.2424	2795
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1516	2199.2889	331.8224	2208	50.448	3334122	0.7697	1.2992	1427.4657	1829.1913	92694	153.138	278.8891	111	465.5513	14194973	0.6455	1.5492	1521.8676	1869.3307	524	465.5513	1171	1516	234.0257	44.392	234	50.448	354783	0.7697	1.2992	1427.4657	1829.1913	92694	12.9867	43.3538	0	465.5513	1203786	0.6455	1.5492	1521.8676	1869.3307	76	465.5513	7189
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1884	3131.8901	633.3942	3285	55.7315	5900481	0.8096	1.2352	772.1247	1894.3296	83536	189.8913	465.0466	112	508.183	15862763	0.5652	1.7692	647.4307	1768.6461	461	508.183	1270	1884	317.5334	66.724	321	55.7315	598233	0.8096	1.2352	772.1247	1894.3296	83536	15.3913	56.0864	0	508.183	1285730	0.5652	1.7692	647.4307	1768.6461	90	508.183	5056
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1655	1768.5154	273.5501	1747	53	2926893	0.7642	1.3086	670.5429	1272.3562	18069	303.8867	503.3938	119	204.1201	5490928	0.757	1.3209	651.9104	1239.0232	491	204.1201	1028	1655	328.7208	66.084	327	53	544033	0.7642	1.3086	670.5429	1272.3562	18069	79.1628	102.5595	40	204.1201	1430393	0.757	1.3209	651.9104	1239.0232	96	204.1201	7601
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	2049	3153.5364	521.5919	3149	60.0167	6461596	0.767	1.3039	766.1432	819.3385	65771	221.4202	549.787	114	556.4396	14563031	0.3078	3.2491	605.8041	840.5163	352	556.4396	1028	2049	480.8028	89.7631	479	60.0167	985165	0.767	1.3039	766.1432	819.3385	65771	58.4043	109.7932	2	556.4396	3841309	0.3078	3.2491	605.8041	840.5163	134	556.4396	17718
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1359	2593.167	485.3207	2571	50.8035	3524114	0.688	1.4535	701.9194	631.5883	34540	231.3607	513.2392	114	461.5322	7991197	0.2894	3.4552	597.3526	710.5549	311	461.5322	931	1359	462.9478	96.3151	457	50.8035	629146	0.688	1.4535	701.9194	631.5883	34540	45.1718	110.2554	0	461.5322	1560235	0.2894	3.4552	597.3526	710.5549	170	461.5322	4533
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1318	2796.3384	500.5316	2747	50.1199	3685574	0.6897	1.45	645.7003	556.0698	115770	146.1067	304.0366	108	745.8472	16914769	0.3187	3.1377	296.7934	713.9157	209	745.8472	1735	1318	396.5387	94.0047	391	50.1199	522638	0.6897	1.45	645.7003	556.0698	115770	14.5821	60.2661	0	745.8472	1688166	0.3187	3.1377	296.7934	713.9157	179	745.8472	4822
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1731	2346.0017	437.0036	2351	61.6117	4060929	0.5794	1.7259	618.0448	499.6826	107651	156.4144	302.5315	112	686.6185	16838167	0.2862	3.4937	318.4344	533.8726	314	686.6185	1265	1731	429.0693	95.718	423	61.6117	742719	0.5794	1.7259	618.0448	499.6826	107651	26.2744	74.4508	0	686.6185	2828466	0.2862	3.4937	318.4344	533.8726	101	686.6185	13946
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_3	EDGE	1913	3995.5781	249.5827	4095	62.0322	7643541	0.6417	1.5584	507.3704	184.5146	159572	168.9375	437.9708	113	670.0366	26957695	0.558	1.792	232.128	273.1515	304	670.0366	1953	1913	443.8949	94.1272	439	62.0322	849171	0.6417	1.5584	507.3704	184.5146	159572	16.214	64.0282	0	670.0366	2587296	0.558	1.792	232.128	273.1515	142	670.0366	8702
/Users/Remi/Dropbox/1_WORK/2015/4_PROJECTS/1_SOFTWARE/IMAGEJ_LIB/CELL SIGNALING ANALYSIS/2_CLASSIFY_BORDERCELLS/LOGISTIC REGRESSION/TRAINING DATA/BORDER	20170116_t0_ca_4	EDGE	1805	1873.836	349.1894	1843	68.7314	3382274	0.4965	2.0141	660.3676	701.0019	156904	135.4144	201.1265	110	712.9243	21247061	0.4575	2.1859	667.7425	420.0721	189	712.9243	2412	1805	444.1136	109.4304	435	68.7314	801625	0.4965	2.0141	660.3676	701.0019	156904	28.6645	102.5732	0	712.9243	4497573	0.4575	2.1859	667.7425	420.0721	266	712.9243	11211
