D/Fn	Fv/Fn	is_border
0.230483261	1.815253846	0
0.033701969	2.472691571	0
0.089600509	2.182526708	0
0.110056668	2.514960811	0
0.109578452	2.333041605	0
0.300396346	2.530095709	0
0.148821093	2.324981452	0
0.26603925	3.432113313	0
0.045026553	2.859389058	0
0.331131828	2.403647847	0
0.072182148	2.705233182	0
0.354815576	2.733898145	0
0.643263224	3.5131668	0
0.487442798	3.616340382	0
0.310008421	2.07741195	0
0.177394823	2.052130702	0
0.174910263	2.378073295	0
0.125625126	2.48918135	0
0.176028833	2.567345784	0
0.1690395	1.950094776	0
0.182983277	1.849198489	0
0.416002894	2.797624109	0
0.24067176	2.174606639	0
0.449718387	2.246996923	0
0.29573827	3.543908282	0
0.274527656	3.128623519	0
0.219884741	2.19773092	0
0.233719549	2.95982411	0
0.144718211	2.907239707	0
0.085174487	2.247938062	0
0.165301184	1.938590405	0
0.187686776	2.05170268	0
0.371074548	3.310827627	0
0.103013216	1.977525712	0
0.216520512	1.941104001	0
0.176194418	2.442582461	0
0.100308909	1.977005713	0
0.185255603	2.464885922	0
0.153141261	2.847614202	0
0.108160302	2.184249554	0
0.035008111	2.025532777	0
0.300439695	2.396535885	0
0.280398217	2.579539155	0
0.200721495	1.90190737	0
0.337131751	2.60335931	0
0.134327125	1.664431091	0
0.304465719	2.398366918	0
0.315742422	2.302430626	0
0.303710316	2.776581281	0
0.069612066	2.30006533	0
0.30564453	3.239522476	0
0.305917449	2.694707921	0
0.487852891	3.115002223	0
0.209998129	2.470535701	0
0.641320876	3.32908	0
0.078432148	2.296283322	0
0.1359364	2.231456605	0
0.06517085	1.534239079	0
0.346835471	2.75842994	0
0.287060298	2.377264036	0
0.119034408	2.386634879	0
0.19023459	2.902359599	0
0.369126189	1.873070178	0
0.281398435	2.136201197	0
0.295572966	2.084655185	0
0.293306388	1.755397853	0
0.065883434	1.942286803	0
0.176416042	2.248428048	0
0.371025539	2.891456102	0
0.090959831	2.199870543	0
0.135116717	2.133697049	0
0.34491634	2.484035074	0
0.11005196	2.810720916	0
0.108617878	2.226707851	0
0.144289117	2.652013399	0
0.308523111	1.998463276	0
0.110022044	1.774220002	0
0.054685881	2.033893963	0
0.162820877	1.614675808	0
0.074188926	2.90478389	0
0.158639931	1.823228421	0
0.16987052	2.37135796	0
0.281605045	2.512737489	0
0.219661685	2.044751489	0
0.107176304	2.184221772	0
0.267689999	2.641849267	0
0.117762186	2.571605805	0
0.228711436	2.854861563	0
0.016896435	3.051261175	0
0.592151553	2.673296215	0
0.381952394	2.265612494	0
0.318120191	2.984305403	0
0.405422396	2.338599383	0
0.356055489	2.144192785	0
0.22634736	2.170810751	0
0.051520798	1.812136681	0
0.085118629	1.906502512	0
0.151123332	2.299842553	0
0.016962512	1.803483396	0
0.101164379	1.907814601	0
0.130618088	2.352500014	0
0.077912118	1.881073186	0
0.073281333	1.89527491	0
0.198916509	2.033932293	0
0.149548475	2.174085327	0
0.226436386	1.629393758	0
0.310597115	2.697746891	0
0.102216811	1.932831039	0
0.052164787	1.813166681	0
0.088926188	1.880096054	0
0.042168198	1.396622363	0
0.197655739	1.906042402	0
0.113451791	2.078911524	0
0.160515473	1.690408401	0
0.153643975	1.592448589	0
0.102387073	1.655699982	0
0.207756978	1.870504812	0
0.086374486	1.919931123	0
0.079503189	1.917946725	0
0.339483942	2.706878049	0
0.101643936	2.372527483	0
0.058434306	2.17565651	0
0.108161793	2.152586306	0
0.081193162	1.72330519	0
0.057577533	2.22613286	0
0.169698367	1.700495443	0
0.20975965	2.127221066	0
0.14129322	2.368087366	0
0.265085711	2.011067587	0
0.288786398	1.691504601	0
0.148676636	2.974083412	0
0.174513603	1.844449719	0
0.094998144	2.30148878	0
0.162715237	1.720540972	0
0.071432193	1.660138493	0
0.185566803	1.917806634	0
0.038758858	1.265592851	0
0.006694369	1.818664988	0
0.118738693	1.819195904	0
0.051430879	1.79620635	0
0.074180411	2.048944487	0
0.033914184	1.842449329	0
0.134366794	1.869608454	0
0.078730356	1.622068044	0
0.146228548	1.833329268	0
0.086419687	1.785717778	0
0.11454214	1.557843698	0
0.120847747	2.006437142	0
0.122122236	1.823608907	0
0.095067258	1.697998	0
0.09283092	1.861424884	0
0.091728792	1.945966611	0
0.031320381	1.94999377	0
0.02318152	2.008297175	0
0.089744197	2.008731907	0
0.130702008	1.852601328	0
0.086928556	1.586175703	0
0.178201599	1.501786296	0
0.217833496	1.776156342	0
0.073216722	1.655722751	0
0.050990485	1.548768127	0
0.171473973	1.73852245	0
0.158784324	1.767767052	0
0.150084976	1.744187439	0
0.174915327	1.880857237	0
0.105977883	1.655212781	0
0.090548908	1.87272294	0
0.060201646	1.946413459	0
0.116174286	1.661518506	0
0.078149979	1.278936719	0
0.052655545	1.631658798	0
0.101698256	1.49057882	0
0.109411632	1.846214978	0
0.105180296	1.675882171	0
0.19369492	1.733192834	0
0.15223444	1.644902082	0
0.07349187	1.573243716	0
0.190782773	1.706526598	0
0.130396716	1.857791585	0
0.021779241	1.467466897	0
0.042421887	1.539743007	0
0.037954895	1.5341509	0
0.098115365	1.869892876	0
0.171525726	1.75198421	0
0.113006789	1.321804265	0
0.1102613	1.145401193	0
0.14375751	1.59466997	0
0.047477394	1.310783598	0
0.144391371	1.865788661	0
0.072993213	1.402546573	0
0.099132019	1.425896451	0
0.041341509	1.244932816	0
0.055998334	1.186731372	0
0.13380196	1.620106968	0
0.157460569	1.59379187	0
0.085604727	1.3998402	0
0.14859762	1.307599057	0
0.052186343	1.593133661	0
0.166315106	1.566896774	0
0.211107198	1.903664196	0
0.061871516	2.012867833	0
0.218394365	1.383646316	0
0.036344945	1.565369466	0
0.048873555	1.742767937	0
0.163045503	1.49385089	0
0.156803615	2.117563225	0
0.151570307	1.764067785	0
0.109126066	1.462226729	0
0.153404434	2.02462771	0
0.155147465	1.753340542	0
0.106776694	1.711148716	0
0.070904011	1.84672309	0
0.071692742	1.64619058	0
0.168866304	1.950848537	0
0.074736925	1.918045427	0
0.10474839	2.372057271	0
0.132962714	1.696886242	0
0.131290904	2.234780362	0
0.16947548	1.723029813	0
0.280007157	1.82909945	0
0.086795733	1.697264993	0
0.105482939	1.656668851	0
0.222557078	1.999633502	0
0.045955838	1.865680204	0
0.102744317	1.993669702	0
0.062689196	1.318752664	0
0.154626086	1.781044462	0
0.133916321	1.933290454	0
0.027646706	1.923540782	0
0.232750885	2.747313114	0
0.236773548	2.677793996	0
0.337485678	2.582048718	0
0.435928147	2.357112537	0
0.160806315	2.455823517	0
0.328196533	2.517324905	0
0.647571938	3.995158916	0
0.363017532	2.27623752	0
0.28873262	2.272054594	0
0.128503809	2.348372656	0
0.154242876	2.000761849	0
0.215917284	2.036569682	0
0.211000659	1.56348555	0
0.022016363	1.994421821	0
0.199359061	2.150738215	0
0.250942555	2.154107104	0
0.110131873	1.942744814	0
0.213746476	1.79999157	0
0.342456648	1.859768065	0
0.165475676	2.054663768	0
0.135072464	1.625077427	0
0.061034063	1.986905948	0
0.168960592	1.655705276	0
0.084705756	1.827307174	0
0.205813934	1.839080242	0
0.141157464	2.024558561	0
0.12250408	1.429968153	0
0.132404953	1.91970528	0
0.110689278	1.850978162	0
0.145152396	2.165478348	0
0.116739843	1.902629932	0
0.409625028	2.277636007	0
0.237828614	3.144658682	0
0.195912648	2.202041975	0
0.197604602	2.177177791	0
0.126387233	2.104032712	0
0.188151189	2.064886223	0
0.115462981	1.88858181	0
0.196154009	1.88707369	0
0.209995087	2.15084783	0
0.195266623	1.815254833	0
0.164402739	1.893729763	0
1.095872887	6.29750873	1
0.946915008	4.279953086	1
0.99506491	6.078524801	1
0.339426644	5.537676031	1
0.724566916	11.07633583	1
0.351617403	8.478842937	1
0.43972868	7.241204078	1
0.428447467	4.572392661	1
1.082612697	7.389442081	1
0.451258839	6.249873959	1
2.646350882	16.27442316	1
1.658213091	9.228340073	1
1.483116069	9.118415977	1
1.352483637	3.851322642	1
2.414140063	9.27141279	1
4.007428484	9.084653616	1
4.04091331	14.88125874	1
2.893925323	11.14428753	1
2.054825228	10.80143216	1
1.602748993	3.071754694	1
2.521612543	4.171455313	1
2.114739297	3.572158647	1
3.624503	3.635129906	1
0.73423285	3.5131668	1
2.779811359	3.310827627	1
2.22315545	3.115002223	1
6.382514155	3.32908	1
4.130504059	3.069796238	1
3.88636644	2.56279543	1
4.118007323	10.44585382	1
1.490590862	5.589206085	1
4.367014419	12.49516858	1
3.684994393	13.53813034	1
2.371810186	6.812992469	1
0.684280163	3.162919589	1
2.123866621	7.225055165	1
2.553700732	7.399496551	1
3.082394467	9.067365437	1
4.741403519	12.14576584	1
0.743225084	3.826525658	1
1.068169313	4.081197967	1
0.440981722	3.216979655	1
10.47554555	20.26098793	1
6.295667195	19.82053772	1
7.347869064	17.19207904	1
0.974119267	4.47187813	1
0.632746393	3.192154532	1
4.767500468	14.326355	1
2.946800005	19.71559736	1
0.930603779	7.560307985	1
2.96299412	7.911371423	1
1.795075411	7.252790712	1
0.501748161	2.754845512	1
4.930809471	11.56208871	1
2.921199523	11.7595683	1
3.32259711	9.5124491	1
1.470142655	5.016501538	1
0.787670312	3.499841146	1
2.230338115	6.064332341	1
1.417212081	7.109081633	1
11.31519295	23.77294783	1
