Ac+An/Av	ROUND/AR	Fv/FminNucl	Y
0.150468947	0.438265475	9.648882391	1
0.308790328	0.28742226	7.665537103	1
0.291597338	0.149920626	10.68097912	1
0.386411386	0.172628693	9.563826651	1
0.114341627	0.365664873	15.69087229	1
0.11664608	0.102018653	15.97461823	1
0.125807388	0.144327939	15.15582936	1
0.171068087	0.261309615	13.97533496	1
0.289868884	0.285920539	12.8647419	1
0.250103217	0.38252211	12.85117019	1
0.027206617	0.180458794	25.73717018	1
0.093911149	0.416666667	15.49217149	1
0.083077954	0.319466426	15.03280301	1
0.512258564	0.573094103	6.536776616	1
0.300542792	0.094733926	16.29852052	1
0.170584829	0.083757814	17.25345925	1
0.053036192	0.101571215	28.36250916	1
0.145628002	0.081918883	24.43889835	1
0.066521696	0.311383929	21.72704881	1
0.082955183	0.209295942	27.14697243	1
0.599259974	0.159367639	11.00002289	1
0.182042841	0.125887028	27.29794131	1
0.055920559	0.406812093	25.71017968	1
0.18391437	0.352124377	10.62041257	1
0.845008481	0.245025245	5.306145335	1
0.295046121	0.082419475	14.45926874	1
0.161565609	0.204111136	15.41373982	1
0.101451218	0.253727584	17.39987391	1
0.087953202	0.049288426	20.0274689	1
0.845025567	0.19642778	8.090497201	1
0.878045113	0.356192181	7.611620535	1
1.000453162	0.172565636	6.139418633	1
0.026703442	0.156275944	32.0318115	1
0.052771517	0.07154702	35.95931954	1
0.069873949	0.045369345	35.57468211	1
0.558889137	0.255037624	10.05000514	1
0.880648899	0.364926906	6.160556458	1
0.123985247	0.059243033	34.3603451	1
0.051739778	0.030449501	51.62383916	1
0.299607172	0.178743553	21.96188503	1
0.1567334	0.106986328	15.12515228	1
0.350089188	0.198920655	13.92403862	1
0.554966668	0.563865736	8.553675217	1
0.112601212	0.172227756	21.99595475	1
0.292658747	0.043306349	25.93339558	1
0.225301666	0.079519499	20.2549121	1
0.253281505	0.27209181	10.35687968	1
0.482285232	0.213092051	11.66612253	1
0.23063515	0.252398895	12.04064851	1
0.789309113	0.020277968	12.38038494	1
0.06012083	0.068912108	37.80742412	1
0.263319886	0.204385172	8.135918933	1
0.150434744	0.651598321	9.849630106	1
0.772337605	0.426826081	4.57336415	1
0.420211473	0.313024505	7.425721225	1
0.259493209	0.189839223	9.807566227	1
0.219422518	0.503797289	9.424378479	1
0.327266853	0.158868075	9.001455192	1
0.426461724	0.352511578	6.38714975	1
0.543290891	0.187586625	8.455661072	1
0.218483174	0.255446045	10.53654601	1
0.505126717	0.103621439	7.939090551	1
0.22214243	0.274274641	5.786962739	1
0.648142037	0.130448915	7.91655713	1
0.256761344	0.323419017	8.331925136	1
0.958855626	0.258451528	4.47500981	1
0.77750309	0.155716033	6.296454309	1
0.294749676	0.253892276	8.024240991	1
0.633751623	0.358438604	6.301838006	1
0.587611256	0.315290022	5.993226497	1
0.989012936	0.796519411	3.514257901	0
